,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
91,shchuchye,0,RU,1554613200,74,53.14,59.15,37.4,4.47
92,shchuchye,0,UA,1554613200,71,46.51,30.33,50,6.71
93,shchuchye,0,na,0,0,0,0,0,0
94,shchuchye,0,RU,1554613200,80,59.2,38.84,33.8,3.94
95,shchuchye,44,MV,1554615703,100,3.78,72.97,84.03,6.06
96,shchuchye,8,NA,1554615394,91,-26.65,15.16,56.31,9.98
97,shchuchye,44,GB,1554615188,93,50.8,-1.08,45,9.17
98,shchuchye,0,RU,1554613200,65,55.89,52.31,41,20.13
99,shchuchye,8,IN,1554615242,80,34.2,74.35,51.45,0.69
100,shchuchye,20,ET,1554613200,55,8.96,38.73,64.4,6.93
101,shchuchye,12,RU,1554615243,95,63.79,74.5,28.41,16.24
102,shchuchye,0,RU,1554615243,67,69.38,178.42,2.4,7.63
103,shchuchye,0,AU,1554615395,38,-22,148.04,85.38,12.77
104,shchuchye,0,na,0,0,0,0,0,0
105,shchuchye,0,na,0,0,0,0,0,0
106,shchuchye,0,CN,1554615244,61,31.35,106.05,80.34,7.18
107,shchuchye,32,EE,1554615244,71,59.1,26.19,38.76,5.39
108,shchuchye,0,RU,1554615396,67,71.64,128.87,33.18,9.53
109,shchuchye,80,BR,1554615245,89,-16.46,-54.64,69.54,5.17
110,shchuchye,36,RU,1554615036,74,59.7,30.79,48.99,3.38
111,shchuchye,24,IN,1554615397,100,10.57,72.64,84.48,9.75
112,shchuchye,0,CN,1554615245,23,38.48,106.21,72.6,9.42
113,shchuchye,90,BG,1554615215,100,42.87,25.32,50,1.12
114,shchuchye,88,NO,1554615706,88,71.03,27.85,30.75,8.97
115,shchuchye,0,AU,1554615015,35,-33.42,149.58,82,5.01
116,shchuchye,20,PF,1554613354,70,-17.53,-149.33,86,5.82
117,shchuchye,40,ID,1554613200,70,-3.32,114.59,89.6,9.17
118,shchuchye,75,IT,1554615152,72,38.24,16.26,59,6.93
119,shchuchye,80,RU,1554615247,87,68.01,35.02,31.38,2.93
120,shchuchye,12,EG,1554615247,69,28.42,30.79,71.07,6.62
121,shchuchye,0,na,0,0,0,0,0,0
